run_name,learning_rate,embed_type,loss_type,schedule_type,loss_weight_type,best_eval_loss,best_step,train_nll,error
spherical_ce_linear_uniform_lr1e-4,0.0001,spherical,ce,linear,uniform,6.945192337036133,78,,
spherical_ce_linear_time_weighted_lr1e-4,0.0001,spherical,ce,linear,time_weighted,7.477931499481201,78,,
spherical_ce_cosine_uniform_lr1e-4,0.0001,spherical,ce,cosine,uniform,8.154736518859863,39,,
spherical_ce_cosine_time_weighted_lr1e-4,0.0001,spherical,ce,cosine,time_weighted,8.423720359802246,39,,
spherical_mse_linear_uniform_lr1e-4,0.0001,spherical,mse,linear,uniform,9.316789627075195,39,,
spherical_mse_linear_time_weighted_lr1e-4,0.0001,spherical,mse,linear,time_weighted,9.36339282989502,39,,
spherical_mse_cosine_uniform_lr1e-4,0.0001,spherical,mse,cosine,uniform,9.258627891540527,39,,
spherical_mse_cosine_time_weighted_lr1e-4,0.0001,spherical,mse,cosine,time_weighted,9.08393669128418,39,,
simplex_ce_linear_uniform_lr1e-4,0.0001,simplex,ce,linear,uniform,16.723194122314453,39,,
simplex_ce_linear_time_weighted_lr1e-4,0.0001,simplex,ce,linear,time_weighted,19.962385177612305,39,,
simplex_ce_cosine_uniform_lr1e-4,0.0001,simplex,ce,cosine,uniform,19.5467586517334,39,,
simplex_ce_cosine_time_weighted_lr1e-4,0.0001,simplex,ce,cosine,time_weighted,20.53330421447754,351,,
simplex_mse_linear_uniform_lr1e-4,0.0001,simplex,mse,linear,uniform,9.296616554260254,39,,
simplex_mse_linear_time_weighted_lr1e-4,0.0001,simplex,mse,linear,time_weighted,9.341045379638672,39,,
simplex_mse_cosine_uniform_lr1e-4,0.0001,simplex,mse,cosine,uniform,9.831475257873535,78,,
simplex_mse_cosine_time_weighted_lr1e-4,0.0001,simplex,mse,cosine,time_weighted,9.893855094909668,39,,
spherical_ce_linear_uniform_lr5e-5,5e-05,spherical,ce,linear,uniform,7.506783962249756,78,,
spherical_ce_linear_time_weighted_lr5e-5,5e-05,spherical,ce,linear,time_weighted,7.862380027770996,78,,
spherical_ce_cosine_uniform_lr5e-5,5e-05,spherical,ce,cosine,uniform,9.544066429138184,78,,
spherical_ce_cosine_time_weighted_lr5e-5,5e-05,spherical,ce,cosine,time_weighted,12.885107040405273,78,,
spherical_mse_linear_uniform_lr5e-5,5e-05,spherical,mse,linear,uniform,9.343550682067871,78,,
spherical_mse_linear_time_weighted_lr5e-5,5e-05,spherical,mse,linear,time_weighted,9.365314483642578,78,,
spherical_mse_cosine_uniform_lr5e-5,5e-05,spherical,mse,cosine,uniform,9.310054779052734,78,,
spherical_mse_cosine_time_weighted_lr5e-5,5e-05,spherical,mse,cosine,time_weighted,9.29818344116211,78,,
simplex_ce_linear_uniform_lr5e-5,5e-05,simplex,ce,linear,uniform,17.088451385498047,39,,
simplex_ce_linear_time_weighted_lr5e-5,5e-05,simplex,ce,linear,time_weighted,17.581249237060547,39,,
simplex_ce_cosine_uniform_lr5e-5,5e-05,simplex,ce,cosine,uniform,19.896129608154297,156,,
simplex_ce_cosine_time_weighted_lr5e-5,5e-05,simplex,ce,cosine,time_weighted,19.753719329833984,39,,
simplex_mse_linear_uniform_lr5e-5,5e-05,simplex,mse,linear,uniform,9.308964729309082,78,,
simplex_mse_linear_time_weighted_lr5e-5,5e-05,simplex,mse,linear,time_weighted,9.226984977722168,78,,
simplex_mse_cosine_uniform_lr5e-5,5e-05,simplex,mse,cosine,uniform,9.330424308776855,78,,
simplex_mse_cosine_time_weighted_lr5e-5,5e-05,simplex,mse,cosine,time_weighted,9.308006286621094,78,,
spherical_ce_linear_uniform_lr1e-5,1e-05,spherical,ce,linear,uniform,12.47661304473877,312,,
spherical_ce_linear_time_weighted_lr1e-5,1e-05,spherical,ce,linear,time_weighted,12.329700469970703,312,,
spherical_ce_cosine_uniform_lr1e-5,1e-05,spherical,ce,cosine,uniform,19.601852416992188,312,,
spherical_ce_cosine_time_weighted_lr1e-5,1e-05,spherical,ce,cosine,time_weighted,19.430294036865234,351,,
spherical_mse_linear_uniform_lr1e-5,1e-05,spherical,mse,linear,uniform,14.002900123596191,312,,
spherical_mse_linear_time_weighted_lr1e-5,1e-05,spherical,mse,linear,time_weighted,14.5120210647583,312,,
spherical_mse_cosine_uniform_lr1e-5,1e-05,spherical,mse,cosine,uniform,20.51375389099121,312,,
spherical_mse_cosine_time_weighted_lr1e-5,1e-05,spherical,mse,cosine,time_weighted,19.804393768310547,312,,
simplex_ce_linear_uniform_lr1e-5,1e-05,simplex,ce,linear,uniform,19.85472297668457,351,,
simplex_ce_linear_time_weighted_lr1e-5,1e-05,simplex,ce,linear,time_weighted,19.382335662841797,351,,
simplex_ce_cosine_uniform_lr1e-5,1e-05,simplex,ce,cosine,uniform,21.207014083862305,273,,
simplex_ce_cosine_time_weighted_lr1e-5,1e-05,simplex,ce,cosine,time_weighted,20.685022354125977,312,,
simplex_mse_linear_uniform_lr1e-5,1e-05,simplex,mse,linear,uniform,16.80685806274414,312,,
simplex_mse_linear_time_weighted_lr1e-5,1e-05,simplex,mse,linear,time_weighted,16.7482852935791,351,,
simplex_mse_cosine_uniform_lr1e-5,1e-05,simplex,mse,cosine,uniform,19.155513763427734,351,,
simplex_mse_cosine_time_weighted_lr1e-5,1e-05,simplex,mse,cosine,time_weighted,18.846025466918945,312,,
